Tempo (s)	Sensor1	Sensor2	Sensor3
7922.0	112.25	111.75	116.5
7932.0	111.5	112.0	116.25
7942.0	112.0	111.75	116.25
7952.0	111.5	111.0	116.25
7962.0	112.0	111.5	116.5
7972.0	112.0	112.25	116.25
7982.0	112.0	111.75	116.25
7992.0	112.0	111.5	116.5
8002.0	112.0	112.0	116.0
8012.0	111.75	112.25	115.75
8022.0	111.75	112.75	116.0
8032.0	112.5	113.0	116.0
8042.0	112.0	113.75	116.0
8053.0	113.0	114.0	116.25
8063.0	112.5	114.0	116.5
8073.0	112.5	114.5	116.0
8083.0	113.25	115.0	116.5
8093.0	113.75	115.5	116.75
8103.0	113.5	115.5	116.75
8113.0	114.0	115.5	116.75
8123.0	114.0	115.25	116.75
8133.0	114.0	115.75	116.75
8143.0	114.25	115.75	116.75
8153.0	114.5	116.0	117.25
8163.0	114.75	116.0	117.25
8173.0	114.5	116.0	117.25
8183.0	114.5	115.75	117.25
8193.0	114.75	116.0	117.5
8203.0	114.75	115.75	117.75
8213.0	115.0	116.0	117.75
8223.0	115.25	115.75	117.75
8233.0	115.25	115.75	117.5
