Tempo (s)	Sensor1	Sensor2	Sensor3
2966.0	62.25	0.0	0.0
2971.0	61.5	0.0	0.0
2976.0	62.0	0.0	0.0
2981.0	62.0	0.0	0.0
2986.0	61.75	0.0	0.0
2991.0	61.75	0.0	0.0
2996.0	61.75	0.0	0.0
3001.0	61.75	0.0	0.0
3006.0	61.75	0.0	0.0
3011.0	61.5	0.0	0.0
3016.0	61.75	0.0	0.0
3021.0	61.5	0.0	0.0
3026.0	61.5	0.0	0.0
3031.0	61.25	0.0	0.0
3036.0	61.25	0.0	0.0
3041.0	61.5	0.0	0.0
3046.0	61.25	0.0	0.0
3052.0	61.0	0.0	0.0
3057.0	60.75	0.0	0.0
3062.0	61.25	0.0	0.0
3067.0	60.75	0.0	0.0
3072.0	61.25	0.0	0.0
3077.0	61.25	0.0	0.0
3082.0	61.25	0.0	0.0
3087.0	61.25	0.0	0.0
3092.0	61.25	0.0	0.0
3097.0	61.0	0.0	0.0
3102.0	61.0	0.0	0.0
3107.0	61.25	0.0	0.0
3112.0	61.0	0.0	0.0
3117.0	60.75	0.0	0.0
3122.0	60.75	0.0	0.0
3127.0	60.75	0.0	0.0
3132.0	61.0	0.0	0.0
3137.0	60.75	0.0	0.0
3142.0	60.5	0.0	0.0
3148.0	60.5	0.0	0.0
3153.0	60.25	0.0	0.0
3158.0	60.5	0.0	0.0
3163.0	59.75	0.0	0.0
3168.0	60.5	0.0	0.0
3173.0	59.5	0.0	0.0
3178.0	60.5	0.0	0.0
3183.0	60.5	0.0	0.0
3188.0	60.25	0.0	0.0
3193.0	59.75	0.0	0.0
3198.0	59.75	0.0	0.0
3203.0	60.25	0.0	0.0
3208.0	59.5	0.0	0.0
3213.0	59.5	0.0	0.0
3218.0	60.0	0.0	0.0
3223.0	60.0	0.0	0.0
3228.0	59.25	0.0	0.0
3233.0	59.5	0.0	0.0
3238.0	60.0	0.0	0.0
3243.0	59.5	0.0	0.0
3248.0	59.75	0.0	0.0
3253.0	59.0	0.0	0.0
3258.0	59.25	0.0	0.0
3263.0	59.0	0.0	0.0
3268.0	59.25	0.0	0.0
3273.0	59.25	0.0	0.0
3278.0	59.75	0.0	0.0
3283.0	59.25	0.0	0.0
3289.0	59.0	0.0	0.0
3294.0	59.0	0.0	0.0
3299.0	59.25	0.0	0.0
3304.0	59.25	0.0	0.0
3309.0	59.25	0.0	0.0
3314.0	59.25	0.0	0.0
3319.0	59.25	0.0	0.0
3324.0	59.25	0.0	0.0
3329.0	59.0	0.0	0.0
3334.0	59.0	0.0	0.0
3339.0	59.0	0.0	0.0
3344.0	58.5	0.0	0.0
3349.0	59.25	0.0	0.0
3354.0	59.0	0.0	0.0
3359.0	59.25	0.0	0.0
3364.0	59.0	0.0	0.0
3369.0	59.0	0.0	0.0
3374.0	58.75	0.0	0.0
3379.0	58.5	0.0	0.0
3384.0	58.75	0.0	0.0
3389.0	58.5	0.0	0.0
3394.0	58.75	0.0	0.0
3399.0	58.25	0.0	0.0
3404.0	58.5	0.0	0.0
3409.0	58.25	0.0	0.0
3414.0	58.0	0.0	0.0
3420.0	58.25	0.0	0.0
3425.0	58.5	0.0	0.0
3430.0	58.5	0.0	0.0
3435.0	58.25	0.0	0.0
3440.0	58.25	0.0	0.0
3445.0	57.75	0.0	0.0
3450.0	57.75	0.0	0.0
3455.0	57.5	0.0	0.0
3460.0	58.0	0.0	0.0
3465.0	58.0	0.0	0.0
3470.0	58.0	0.0	0.0
3475.0	57.5	0.0	0.0
3480.0	57.75	0.0	0.0
3485.0	57.75	0.0	0.0
3490.0	57.75	0.0	0.0
3495.0	57.75	0.0	0.0
3500.0	57.75	0.0	0.0
3505.0	57.75	0.0	0.0
3510.0	57.75	0.0	0.0
3515.0	57.5	0.0	0.0
3520.0	57.5	0.0	0.0
3525.0	57.5	0.0	0.0
3530.0	57.25	0.0	0.0
3535.0	57.25	0.0	0.0
3541.0	57.5	0.0	0.0
3546.0	57.0	0.0	0.0
3551.0	57.25	0.0	0.0
3556.0	57.25	0.0	0.0
3561.0	57.25	0.0	0.0
3566.0	57.0	0.0	0.0
3571.0	57.25	0.0	0.0
3576.0	56.75	0.0	0.0
3581.0	56.75	0.0	0.0
3586.0	56.75	0.0	0.0
3591.0	57.0	0.0	0.0
3596.0	56.75	0.0	0.0
3601.0	56.75	0.0	0.0
3606.0	56.25	0.0	0.0
3611.0	56.75	0.0	0.0
3616.0	56.75	0.0	0.0
3621.0	56.25	0.0	0.0
3626.0	56.5	0.0	0.0
3631.0	56.5	0.0	0.0
3636.0	57.0	0.0	0.0
3641.0	56.5	0.0	0.0
3646.0	56.5	0.0	0.0
3651.0	56.25	0.0	0.0
3656.0	56.5	0.0	0.0
3661.0	56.5	0.0	0.0
3666.0	56.25	0.0	0.0
3672.0	56.25	0.0	0.0
