Data/Hora,Segundos,Sensor1,Sensor2
2024-11-11 14:34:32,3546.55,20.50,21.25
2024-11-11 14:34:42,3556.58,20.75,21.50
2024-11-11 14:34:52,3566.65,21.25,21.25
2024-11-11 14:35:02,3576.69,21.00,21.25
2024-11-11 14:35:12,3586.76,21.00,21.00
2024-11-11 14:35:22,3596.86,21.00,21.25
2024-11-11 14:35:33,3606.95,20.75,21.50
2024-11-11 14:35:43,3617.01,20.75,21.50
2024-11-11 14:35:53,3627.10,20.75,21.25
2024-11-11 14:36:03,3637.16,20.75,21.25
2024-11-11 14:36:13,3647.23,21.00,21.75
2024-11-11 14:36:23,3657.30,21.25,21.50
2024-11-11 14:36:33,3667.36,21.00,21.50
2024-11-11 14:36:43,3677.43,21.00,21.50
2024-11-11 14:36:53,3687.52,21.25,21.50
2024-11-11 14:37:03,3697.56,21.00,21.50
2024-11-11 14:37:13,3707.59,21.50,21.50
2024-11-11 14:37:23,3717.62,21.50,21.75
2024-11-11 14:37:33,3727.65,21.00,21.50
2024-11-11 14:37:43,3737.73,20.75,21.75
2024-11-11 14:37:53,3747.74,21.00,21.50
2024-11-11 14:38:03,3757.76,21.50,21.50
2024-11-11 14:38:13,3767.80,21.25,21.25
2024-11-11 14:38:23,3777.85,20.75,21.75
2024-11-11 14:38:33,3787.90,21.00,21.75
2024-11-11 14:38:44,3797.94,21.50,21.75
2024-11-11 14:38:54,3808.00,21.00,21.75
2024-11-11 14:39:04,3818.01,21.50,21.75
2024-11-11 14:39:14,3828.06,21.25,21.75
2024-11-11 14:39:24,3838.12,21.00,21.75
2024-11-11 14:39:34,3848.17,20.50,21.75
2024-11-11 14:39:44,3858.26,21.50,22.00
2024-11-11 14:39:54,3868.29,21.50,21.50
2024-11-11 14:40:04,3878.34,21.75,21.75
2024-11-11 14:40:14,3888.34,21.25,21.75
2024-11-11 14:40:24,3898.40,21.50,22.00
2024-11-11 14:40:34,3908.44,20.75,22.00
2024-11-11 14:40:44,3918.48,21.00,21.75
2024-11-11 14:40:54,3928.49,21.50,21.50
2024-11-11 14:41:04,3938.55,21.50,22.25
2024-11-11 14:41:14,3948.63,21.50,21.50
2024-11-11 14:41:24,3958.70,21.25,21.75
2024-11-11 14:41:34,3968.76,21.75,22.00
2024-11-11 14:41:44,3978.86,21.50,21.75
2024-11-11 14:41:55,3988.95,21.25,22.00
2024-11-11 14:42:05,3999.03,21.25,22.00
2024-11-11 14:42:15,4009.07,21.75,21.75
2024-11-11 14:42:25,4019.11,21.50,22.00
2024-11-11 14:42:35,4029.14,20.75,22.25
2024-11-11 14:42:45,4039.23,21.25,21.75
2024-11-11 14:42:55,4049.32,21.25,22.00
2024-11-11 14:43:05,4059.36,21.75,22.00
2024-11-11 14:43:15,4069.45,21.75,21.50
2024-11-11 14:43:25,4079.48,21.75,22.25
2024-11-11 14:43:35,4089.57,21.25,21.75
2024-11-11 14:43:45,4099.64,21.75,21.50
2024-11-11 14:43:55,4109.67,21.50,21.50
2024-11-11 14:44:05,4119.71,21.50,21.50
2024-11-11 14:44:15,4129.75,21.00,22.00
2024-11-11 14:44:25,4139.76,21.75,22.00
2024-11-11 14:44:35,4149.80,21.00,22.25
2024-11-11 14:44:45,4159.86,21.75,22.00
